Suggested General Category,Suggested Var Name,Suggested Description,Units,Attribute 1 (standard for subset of measurements),Attribute 2 (standard),Attribute 3,Attribute 4,Attribute 5,Attribute 6,Final attribute
Aggregation,Water_Stable_Aggregation,Abundance of water-stable soil aggregates by size class (wet sieve),g/kg,,"Soil sample? If yes then select sample handling (Field moist soil, Dried sample, Frozen sample) If ""Dried"" then ask ""Ground?"", Yes or No",Pull down menu for size classes (>2000 um; 250-2000 um; 250-500 um; 500-1000 um; 1000-2000 um),"Pull down menu for method (Yoder apparatus, Cornell rainfall simulator, Slake App test, other)",,,"Method reference, if known (fillable field)"
Bulk Density,Bulk_Density,Oven-dried soil mass per volume,g/cm3,,"Soil sample? If yes then select sample handling (Field moist soil, Dried sample, Frozen sample) If ""Dried"" then ask ""Ground?"", Yes or No","Pull down menu for method (core, clod, compliant cavity)",Corrected for gravel content - Yes or No,,,"Method reference, if known (fillable field)"
Enzyme activity,Acid_Phosphatase,Acid phosphatase enzyme activity,mg ρ-nitrophenol released kg-1 soil h-1,Representative of field conditions OR Potential measurement,"Soil sample? If yes then select sample handling (Field moist soil, Dried sample, Frozen sample) If ""Dried"" then ask ""Ground?"", Yes or No",,,,,"Method reference, if known (fillable field)"
Enzyme activity,Alkaline_Phosphatase,Alkaline phosphatase enzyme activity,mg ρ-nitrophenol released kg-1 soil h-1,Representative of field conditions OR Potential measurement,"Soil sample? If yes then select sample handling (Field moist soil, Dried sample, Frozen sample) If ""Dried"" then ask ""Ground?"", Yes or No",,,,,"Method reference, if known (fillable field)"
Enzyme activity,Arylsulfatase,Arylsulfatase enzyme activity,mg ρ-nitrophenol released kg-1 soil h-1,Representative of field conditions OR Potential measurement,"Soil sample? If yes then select sample handling (Field moist soil, Dried sample, Frozen sample) If ""Dried"" then ask ""Ground?"", Yes or No",,,,,"Method reference, if known (fillable field)"
Enzyme activity,Beta_Glucosaminidase_NAG,Beta Glucosaminidase nag enzyme activity,mg ρ-nitrophenol released kg-1 soil h-1,Representative of field conditions OR Potential measurement,"Soil sample? If yes then select sample handling (Field moist soil, Dried sample, Frozen sample) If ""Dried"" then ask ""Ground?"", Yes or No",,,,,"Method reference, if known (fillable field)"
Enzyme activity,Beta_Glucosidase,Beta glucosidase enzyme activity,mg ρ-nitrophenol released kg-1 soil h-1,Representative of field conditions OR Potential measurement,"Soil sample? If yes then select sample handling (Field moist soil, Dried sample, Frozen sample) If ""Dried"" then ask ""Ground?"", Yes or No",,,,,"Method reference, if known (fillable field)"
Enzyme activity,Combined_Enzyme_Assay,Combined assay of multiple enzymes activity,mg ρ-nitrophenol released kg-1 soil h-1,Representative of field conditions OR Potential measurement,"Soil sample? If yes then select sample handling (Field moist soil, Dried sample, Frozen sample) If ""Dried"" then ask ""Ground?"", Yes or No",,,,,"Method reference, if known (fillable field)"
Enzyme activity,Fluorescein_Diacetate_Hydrolysis,Fluorescein Diacetate hydrolysis enzyme activity,mg fluorescein kg-1 h-1,Representative of field conditions OR Potential measurement,"Soil sample? If yes then select sample handling (Field moist soil, Dried sample, Frozen sample) If ""Dried"" then ask ""Ground?"", Yes or No",,,,,"Method reference, if known (fillable field)"
Enzyme activity,L-asparaginase,L-asparaginase enzyme activity,mg NH4–N released kg−1 soil h−1,Representative of field conditions OR Potential measurement,"Soil sample? If yes then select sample handling (Field moist soil, Dried sample, Frozen sample) If ""Dried"" then ask ""Ground?"", Yes or No",,,,,"Method reference, if known (fillable field)"
Enzyme activity,L-glutaminase,L-glutaminase enzyme activity,mg NH4–N released kg−1 soil h−1,Representative of field conditions OR Potential measurement,"Soil sample? If yes then select sample handling (Field moist soil, Dried sample, Frozen sample) If ""Dried"" then ask ""Ground?"", Yes or No",,,,,"Method reference, if known (fillable field)"
Enzyme activity,Phenol_Oxidase,Phenol oxidase enzyme activity,umol product (dopachrome) g-1 dry soil h-1,Representative of field conditions OR Potential measurement,"Soil sample? If yes then select sample handling (Field moist soil, Dried sample, Frozen sample) If ""Dried"" then ask ""Ground?"", Yes or No",,,,,"Method reference, if known (fillable field)"
Enzyme activity,Phosphodiesterase,Phosphodiesterase enzyme activity,mg ρ-nitrophenol released kg-1 soil h-1,Representative of field conditions OR Potential measurement,"Soil sample? If yes then select sample handling (Field moist soil, Dried sample, Frozen sample) If ""Dried"" then ask ""Ground?"", Yes or No",,,,,"Method reference, if known (fillable field)"
Enzyme activity,Urease,Urease enzyme activity,mg NH4–N released kg−1 soil h−1,Representative of field conditions OR Potential measurement,"Soil sample? If yes then select sample handling (Field moist soil, Dried sample, Frozen sample) If ""Dried"" then ask ""Ground?"", Yes or No",,,,,"Method reference, if known (fillable field)"
Microbes,AMF_abundance,Arbuscular mycorrhizal fungi root colonization,% root colonized,,"Soil sample? If yes then select sample handling (Field moist soil, Dried sample, Frozen sample) If ""Dried"" then ask ""Ground?"", Yes or No","Pull down menu for method: root sample staining, other",,,,"Method reference, if known (fillable field)"
Microbes,DNA,"DNA sequences, were they measured",-,,"Soil sample? If yes then select sample handling (Field moist soil, Dried sample, Frozen sample) If ""Dried"" then ask ""Ground?"", Yes or No","YES, NO","Sequences measured (16s, 18s, whole genome shotgun, other)",,,"Method reference, if known (fillable field)"
Microbes,FAME,"Fatty Acid Methyl Esters, were they measured",-,,"Soil sample? If yes then select sample handling (Field moist soil, Dried sample, Frozen sample) If ""Dried"" then ask ""Ground?"", Yes or No","YES, NO",,,,"Method reference, if known (fillable field)"
Microbes,Fungal_abundance,Abundance of fungi,copies/g,,"Soil sample? If yes then select sample handling (Field moist soil, Dried sample, Frozen sample) If ""Dried"" then ask ""Ground?"", Yes or No","Pull down menu for method (18S rDNA qPCR, other)",,,,"Method reference, if known (fillable field)"
Microbes,Microbial_biomass_C,Microbial biomass carbon,mg C/kg,,"Soil sample? If yes then select sample handling (Field moist soil, Dried sample, Frozen sample) If ""Dried"" then ask ""Ground?"", Yes or No","Pull down menu for method: chloroform fumigation, other",,,,"Method reference, if known (fillable field)"
Microbes,Microbial_biomass_N,Microbial biomass nitrogen,mg N/kg,,"Soil sample? If yes then select sample handling (Field moist soil, Dried sample, Frozen sample) If ""Dried"" then ask ""Ground?"", Yes or No","Pull down menu for method: chloroform fumigation, other",,,,"Method reference, if known (fillable field)"
Microbes,Microbial_genes,Abundance of specific microbial genes,number of reads/g,,"Soil sample? If yes then select sample handling (Field moist soil, Dried sample, Frozen sample) If ""Dried"" then ask ""Ground?"", Yes or No","Pull down menu for gene (nifH, other)","Pull down menu for method (q-PCR, other)",,,"Method reference, if known (fillable field)"
Microbes,PLFA,"Phospholipid Fatty Acids, were they measured",-,,"Soil sample? If yes then select sample handling (Field moist soil, Dried sample, Frozen sample) If ""Dried"" then ask ""Ground?"", Yes or No","YES, NO",,,,"Method reference, if known (fillable field)"
Meso & macrofauna,Arthropod_abundance,Soil arthropods (aggregate or by category),number/m2,,"Soil sample? If yes then select sample handling (Field moist soil, Dried sample, Frozen sample) If ""Dried"" then ask ""Ground?"", Yes or No","Pulldown for method (Tullgren funnel, other)","Pulldown for taxon (collembola, acari, oribatida, isopod, other (specify))",,,"Method reference, if known (fillable field)"
Meso & macrofauna,Earthworm_abundance,number of earthworms per square meter,number/m2,,"Soil sample? If yes then select sample handling (Field moist soil, Dried sample, Frozen sample) If ""Dried"" then ask ""Ground?"", Yes or No","Pulldown for method (Midden or burrow count, hand sorting, chemical irritant, electroshock, other)","Pulldown for species (Lumbricus terrestris, Lumbricus rubellus, Apporectodea caliginosa, unknown, other (specify))",,,"Method reference, if known (fillable field)"
Meso & macrofauna,Nematode_abundance,number of nematodes per cubic meter,number/m3,,"Soil sample? If yes then select sample handling (Field moist soil, Dried sample, Frozen sample) If ""Dried"" then ask ""Ground?"", Yes or No","Pulldown for method (Decanting, Elutriator, Centrifugal flotation, other)","Pulldown for functional group (total, bacterivorous, fungivorous, omnivorous, predaceous, specific species)",,,"Method reference, if known (fillable field)"
